,dataset,fname,label,label_categorical
40,a,set_a/extrahls__201101070953.wav,extrahls,3
41,a,set_a/extrahls__201101091153.wav,extrahls,3
42,a,set_a/extrahls__201101152255.wav,extrahls,3
43,a,set_a/extrahls__201101160804.wav,extrahls,3
44,a,set_a/extrahls__201101160808.wav,extrahls,3
45,a,set_a/extrahls__201101161027.wav,extrahls,3
46,a,set_a/extrahls__201101241423.wav,extrahls,3
47,a,set_a/extrahls__201101241433.wav,extrahls,3
48,a,set_a/extrahls__201102070251.wav,extrahls,3
49,a,set_a/extrahls__201102071835.wav,extrahls,3
50,a,set_a/extrahls__201102241217.wav,extrahls,3
51,a,set_a/extrahls__201103150114.wav,extrahls,3
52,a,set_a/extrahls__201103170134.wav,extrahls,3
53,a,set_a/extrahls__201103182227.wav,extrahls,3
54,a,set_a/extrahls__201103200218.wav,extrahls,3
55,a,set_a/extrahls__201104021355.wav,extrahls,3
56,a,set_a/extrahls__201104140118.wav,extrahls,3
57,a,set_a/extrahls__201104270458.wav,extrahls,3
58,a,set_a/extrahls__201104270459.wav,extrahls,3
59,a,set_a/murmur__201101051104.wav,murmur,2
60,a,set_a/murmur__201101051108.wav,murmur,2
61,a,set_a/murmur__201101051114.wav,murmur,2
62,a,set_a/murmur__201101180902.wav,murmur,2
63,a,set_a/murmur__201102051443.wav,murmur,2
64,a,set_a/murmur__201102052338.wav,murmur,2
65,a,set_a/murmur__201103291548.wav,murmur,2
66,a,set_a/murmur__201104021355.wav,murmur,2
67,a,set_a/murmur__201104241315.wav,murmur,2
68,a,set_a/murmur__201104291843.wav,murmur,2
69,a,set_a/murmur__201106141148.wav,murmur,2
70,a,set_a/murmur__201108222221.wav,murmur,2
71,a,set_a/murmur__201108222223.wav,murmur,2
72,a,set_a/murmur__201108222224.wav,murmur,2
73,a,set_a/murmur__201108222226.wav,murmur,2
74,a,set_a/murmur__201108222227.wav,murmur,2
75,a,set_a/murmur__201108222231.wav,murmur,2
76,a,set_a/murmur__201108222232.wav,murmur,2
77,a,set_a/murmur__201108222233.wav,murmur,2
78,a,set_a/murmur__201108222235.wav,murmur,2
79,a,set_a/murmur__201108222236.wav,murmur,2
80,a,set_a/murmur__201108222237.wav,murmur,2
81,a,set_a/murmur__201108222238.wav,murmur,2
82,a,set_a/murmur__201108222242.wav,murmur,2
83,a,set_a/murmur__201108222243.wav,murmur,2
84,a,set_a/murmur__201108222245.wav,murmur,2
85,a,set_a/murmur__201108222246.wav,murmur,2
86,a,set_a/murmur__201108222248.wav,murmur,2
87,a,set_a/murmur__201108222251.wav,murmur,2
88,a,set_a/murmur__201108222252.wav,murmur,2
89,a,set_a/murmur__201108222253.wav,murmur,2
90,a,set_a/murmur__201108222255.wav,murmur,2
91,a,set_a/murmur__201108222256.wav,murmur,2
92,a,set_a/murmur__201108222258.wav,murmur,2
93,a,set_a/normal__201101070538.wav,normal,0
94,a,set_a/normal__201101151127.wav,normal,0
95,a,set_a/normal__201102081152.wav,normal,0
96,a,set_a/normal__201102081321.wav,normal,0
97,a,set_a/normal__201102201230.wav,normal,0
98,a,set_a/normal__201102260502.wav,normal,0
99,a,set_a/normal__201102270940.wav,normal,0
100,a,set_a/normal__201103090635.wav,normal,0
101,a,set_a/normal__201103101140.wav,normal,0
102,a,set_a/normal__201103140132.wav,normal,0
103,a,set_a/normal__201103140135.wav,normal,0
104,a,set_a/normal__201103140822.wav,normal,0
105,a,set_a/normal__201103151912.wav,normal,0
106,a,set_a/normal__201103170121.wav,normal,0
107,a,set_a/normal__201103221214.wav,normal,0
108,a,set_a/normal__201104122156.wav,normal,0
109,a,set_a/normal__201104141251.wav,normal,0
110,a,set_a/normal__201105011626.wav,normal,0
111,a,set_a/normal__201105021654.wav,normal,0
112,a,set_a/normal__201105021804.wav,normal,0
113,a,set_a/normal__201105151450.wav,normal,0
114,a,set_a/normal__201106111136.wav,normal,0
115,a,set_a/normal__201106141148.wav,normal,0
116,a,set_a/normal__201106151236.wav,normal,0
117,a,set_a/normal__201106210943.wav,normal,0
118,a,set_a/normal__201106221418.wav,normal,0
119,a,set_a/normal__201106221450.wav,normal,0
120,a,set_a/normal__201108011112.wav,normal,0
121,a,set_a/normal__201108011114.wav,normal,0
122,a,set_a/normal__201108011115.wav,normal,0
123,a,set_a/normal__201108011118.wav,normal,0
